,id,trackName,trackPopularity,trackDurationMs,trackExplicit,albumName,albumType,albumReleaseDate,artistNames,artistLinks,artistID,artistGenres,artistPopularity,spotifyURL,albumCoverURL,inLibrary,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,gene
0,3YyASDEwePUZaPcgCjGOoV,Give Me A Minute,59 (0-100),157493 ms,False,Give Me A Minute,album,2020-08-13,['Lizzy McAlpine'],['https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS'],1GmsPCcpKgF9OhlNXjOsbS,"['boston folk', 'indie pop', 'pop']",79 (0-100),https://open.spotify.com/track/3YyASDEwePUZaPcgCjGOoV,https://i.scdn.co/image/ab67616d0000b27351ea7c73086ca901d759ab79,False,0.668,0.211,9,-15.532,0,0.031,0.792,0.0002,0.108,0.259,111.969,audio_features,spotify:track:3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/tracks/3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/audio-analysis/3YyASDEwePUZaPcgCjGOoV,157493,3,SFDV
1,3YyASDEwePUZaPcgCjGOoV,Give Me A Minute,59 (0-100),157493 ms,False,Give Me A Minute,album,2020-08-13,['Lizzy McAlpine'],['https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS'],1GmsPCcpKgF9OhlNXjOsbS,"['boston folk', 'indie pop', 'pop']",79 (0-100),https://open.spotify.com/track/3YyASDEwePUZaPcgCjGOoV,https://i.scdn.co/image/ab67616d0000b27351ea7c73086ca901d759ab79,False,0.668,0.211,9,-15.532,0,0.031,0.792,0.0002,0.108,0.259,111.969,audio_features,spotify:track:3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/tracks/3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/audio-analysis/3YyASDEwePUZaPcgCjGOoV,157493,3,SFDV
2,3YyASDEwePUZaPcgCjGOoV,Give Me A Minute,59 (0-100),157493 ms,False,Give Me A Minute,album,2020-08-13,['Lizzy McAlpine'],['https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS'],1GmsPCcpKgF9OhlNXjOsbS,"['boston folk', 'indie pop', 'pop']",79 (0-100),https://open.spotify.com/track/3YyASDEwePUZaPcgCjGOoV,https://i.scdn.co/image/ab67616d0000b27351ea7c73086ca901d759ab79,False,0.668,0.211,9,-15.532,0,0.031,0.792,0.0002,0.108,0.259,111.969,audio_features,spotify:track:3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/tracks/3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/audio-analysis/3YyASDEwePUZaPcgCjGOoV,157493,3,SFDV
3,3YyASDEwePUZaPcgCjGOoV,Give Me A Minute,59 (0-100),157493 ms,False,Give Me A Minute,album,2020-08-13,['Lizzy McAlpine'],['https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS'],1GmsPCcpKgF9OhlNXjOsbS,"['boston folk', 'indie pop', 'pop']",79 (0-100),https://open.spotify.com/track/3YyASDEwePUZaPcgCjGOoV,https://i.scdn.co/image/ab67616d0000b27351ea7c73086ca901d759ab79,False,0.668,0.211,9,-15.532,0,0.031,0.792,0.0002,0.108,0.259,111.969,audio_features,spotify:track:3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/tracks/3YyASDEwePUZaPcgCjGOoV,https://api.spotify.com/v1/audio-analysis/3YyASDEwePUZaPcgCjGOoV,157493,3,SFDV
4,1u8PeiYinEIxqWGXcxSgrI,Wading In Waist-High Water,55 (0-100),135013 ms,False,Shore,album,2020-09-22,['Fleet Foxes'],['https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb'],4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",66 (0-100),https://open.spotify.com/track/1u8PeiYinEIxqWGXcxSgrI,https://i.scdn.co/image/ab67616d0000b2734908c0ea9f3884cee21e85c1,False,0.392,0.102,7,-15.273,1,0.0308,0.908,0.013,0.111,0.118,128.253,audio_features,spotify:track:1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/tracks/1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/audio-analysis/1u8PeiYinEIxqWGXcxSgrI,135013,4,SFMV
5,1u8PeiYinEIxqWGXcxSgrI,Wading In Waist-High Water,55 (0-100),135013 ms,False,Shore,album,2020-09-22,['Fleet Foxes'],['https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb'],4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",66 (0-100),https://open.spotify.com/track/1u8PeiYinEIxqWGXcxSgrI,https://i.scdn.co/image/ab67616d0000b2734908c0ea9f3884cee21e85c1,False,0.392,0.102,7,-15.273,1,0.0308,0.908,0.013,0.111,0.118,128.253,audio_features,spotify:track:1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/tracks/1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/audio-analysis/1u8PeiYinEIxqWGXcxSgrI,135013,4,SFMV
6,1u8PeiYinEIxqWGXcxSgrI,Wading In Waist-High Water,55 (0-100),135013 ms,False,Shore,album,2020-09-22,['Fleet Foxes'],['https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb'],4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",66 (0-100),https://open.spotify.com/track/1u8PeiYinEIxqWGXcxSgrI,https://i.scdn.co/image/ab67616d0000b2734908c0ea9f3884cee21e85c1,False,0.392,0.102,7,-15.273,1,0.0308,0.908,0.013,0.111,0.118,128.253,audio_features,spotify:track:1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/tracks/1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/audio-analysis/1u8PeiYinEIxqWGXcxSgrI,135013,4,SFMV
7,1u8PeiYinEIxqWGXcxSgrI,Wading In Waist-High Water,55 (0-100),135013 ms,False,Shore,album,2020-09-22,['Fleet Foxes'],['https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb'],4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",66 (0-100),https://open.spotify.com/track/1u8PeiYinEIxqWGXcxSgrI,https://i.scdn.co/image/ab67616d0000b2734908c0ea9f3884cee21e85c1,False,0.392,0.102,7,-15.273,1,0.0308,0.908,0.013,0.111,0.118,128.253,audio_features,spotify:track:1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/tracks/1u8PeiYinEIxqWGXcxSgrI,https://api.spotify.com/v1/audio-analysis/1u8PeiYinEIxqWGXcxSgrI,135013,4,SFMV
8,76PS07wzG7zYMy8rHPjL2t,Time Will Tell,55 (0-100),167533 ms,False,The Weatherman,album,2013-07-09,['Gregory Alan Isakov'],['https://open.spotify.com/artist/5sXaGoRLSpd7VeyZrLkKwt'],5sXaGoRLSpd7VeyZrLkKwt,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']",69 (0-100),https://open.spotify.com/track/76PS07wzG7zYMy8rHPjL2t,https://i.scdn.co/image/ab67616d0000b27333ffa5c45ccea4103c917964,False,0.37,0.25,5,-11.506,1,0.0295,0.958,0.00112,0.124,0.41,168.0,audio_features,spotify:track:76PS07wzG7zYMy8rHPjL2t,https://api.spotify.com/v1/tracks/76PS07wzG7zYMy8rHPjL2t,https://api.spotify.com/v1/audio-analysis/76PS07wzG7zYMy8rHPjL2t,167533,3,HFDV
9,429EttO8gs0bDo2SQfUNSm,Georgia,65 (0-100),230506 ms,False,Dream Your Life Away (Special Edition),album,2014-09-09,['Vance Joy'],['https://open.spotify.com/artist/10exVja0key0uqUkk6LJRT'],10exVja0key0uqUkk6LJRT,"['folk-pop', 'pop']",78 (0-100),https://open.spotify.com/track/429EttO8gs0bDo2SQfUNSm,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,False,0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,audio_features,spotify:track:429EttO8gs0bDo2SQfUNSm,https://api.spotify.com/v1/tracks/429EttO8gs0bDo2SQfUNSm,https://api.spotify.com/v1/audio-analysis/429EttO8gs0bDo2SQfUNSm,230507,4,HFDV
