,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658,audio_features,54KFQB6N4pn926IUUYZGzK,spotify:track:54KFQB6N4pn926IUUYZGzK,https://api.spotify.com/v1/tracks/54KFQB6N4pn926IUUYZGzK,https://api.spotify.com/v1/audio-analysis/54KFQB6N4pn926IUUYZGzK,371320,4
11,0.418,0.111,1,-14.848,1,0.0389,0.953,0.00342,0.0982,0.228,82.508,audio_features,4Q66chx9WzqWcLItXoZ5r4,spotify:track:4Q66chx9WzqWcLItXoZ5r4,https://api.spotify.com/v1/tracks/4Q66chx9WzqWcLItXoZ5r4,https://api.spotify.com/v1/audio-analysis/4Q66chx9WzqWcLItXoZ5r4,240147,4
12,0.25,0.232,0,-11.291,1,0.0344,0.992,0.0328,0.0907,0.256,178.533,audio_features,2X40ok8aiQ8Z0SS00WIzHL,spotify:track:2X40ok8aiQ8Z0SS00WIzHL,https://api.spotify.com/v1/tracks/2X40ok8aiQ8Z0SS00WIzHL,https://api.spotify.com/v1/audio-analysis/2X40ok8aiQ8Z0SS00WIzHL,174453,1
13,0.611,0.174,9,-13.153,1,0.0452,0.875,0.0,0.102,0.463,115.558,audio_features,3CzWNLFyIwns8KJgH5toHV,spotify:track:3CzWNLFyIwns8KJgH5toHV,https://api.spotify.com/v1/tracks/3CzWNLFyIwns8KJgH5toHV,https://api.spotify.com/v1/audio-analysis/3CzWNLFyIwns8KJgH5toHV,228640,4
14,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,audio_features,4k7x3QKrc3h3U0Viqk0uop,spotify:track:4k7x3QKrc3h3U0Viqk0uop,https://api.spotify.com/v1/tracks/4k7x3QKrc3h3U0Viqk0uop,https://api.spotify.com/v1/audio-analysis/4k7x3QKrc3h3U0Viqk0uop,289560,3
15,0.469,0.201,4,-15.846,1,0.0412,0.744,0.00371,0.105,0.433,83.315,audio_features,61UAZMBFGR1o5hugffpQgr,spotify:track:61UAZMBFGR1o5hugffpQgr,https://api.spotify.com/v1/tracks/61UAZMBFGR1o5hugffpQgr,https://api.spotify.com/v1/audio-analysis/61UAZMBFGR1o5hugffpQgr,224880,1
16,0.11,0.251,3,-12.446,1,0.0346,0.872,0.055,0.103,0.0511,67.973,audio_features,4fiy79vmGnL4PCzUPMdX3h,spotify:track:4fiy79vmGnL4PCzUPMdX3h,https://api.spotify.com/v1/tracks/4fiy79vmGnL4PCzUPMdX3h,https://api.spotify.com/v1/audio-analysis/4fiy79vmGnL4PCzUPMdX3h,351176,5
17,0.155,0.258,6,-13.266,1,0.0358,0.979,0.95,0.611,0.0317,102.231,audio_features,1kXAT5Y0fIBw1vVbTgoS3i,spotify:track:1kXAT5Y0fIBw1vVbTgoS3i,https://api.spotify.com/v1/tracks/1kXAT5Y0fIBw1vVbTgoS3i,https://api.spotify.com/v1/audio-analysis/1kXAT5Y0fIBw1vVbTgoS3i,207200,1
18,0.633,0.382,2,-13.637,1,0.0256,0.806,0.161,0.0829,0.2,101.012,audio_features,4abEe6s1Ja2qSxqC6BUzn1,spotify:track:4abEe6s1Ja2qSxqC6BUzn1,https://api.spotify.com/v1/tracks/4abEe6s1Ja2qSxqC6BUzn1,https://api.spotify.com/v1/audio-analysis/4abEe6s1Ja2qSxqC6BUzn1,239080,4
19,0.535,0.712,7,-8.834,1,0.0284,0.779,0.000207,0.0996,0.296,150.041,audio_features,16tU7Rt9PykDEJPGNT93Io,spotify:track:16tU7Rt9PykDEJPGNT93Io,https://api.spotify.com/v1/tracks/16tU7Rt9PykDEJPGNT93Io,https://api.spotify.com/v1/audio-analysis/16tU7Rt9PykDEJPGNT93Io,210501,4
