,id,trackName,trackPopularity,trackDurationMs,trackExplicit,albumName,albumType,albumReleaseDate,artistNames,artistLinks,artistID,artistGenres,artistPopularity,spotifyURL,albumCoverURL,inLibrary,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,gene
0,6EjU3Hev5VZZmpPjoyNZVX,What I Am - Recorded at Spotify Studios NYC,45 (0-100),235579 ms,False,Spotify Singles,single,2018-07-02,['Iron & Wine'],['https://open.spotify.com/artist/4M5nCE77Qaxayuhp3fVn4V'],4M5nCE77Qaxayuhp3fVn4V,"['acoustic pop', 'chamber pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']",65 (0-100),https://open.spotify.com/track/6EjU3Hev5VZZmpPjoyNZVX,https://i.scdn.co/image/ab67616d0000b273377cf596827818f713e67419,False,0.546,0.299,5,-14.999,1,0.0386,0.668,0.108,0.111,0.79,115.465,audio_features,spotify:track:6EjU3Hev5VZZmpPjoyNZVX,https://api.spotify.com/v1/tracks/6EjU3Hev5VZZmpPjoyNZVX,https://api.spotify.com/v1/audio-analysis/6EjU3Hev5VZZmpPjoyNZVX,235580,4,LPFA
1,4rZ1ELne9HvpOLib85ynD2,Ragged Wood - Transition Basement Sketch,26 (0-100),106426 ms,False,First Collection: 2006-2009,album,2018-11-09,['Fleet Foxes'],['https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb'],4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",66 (0-100),https://open.spotify.com/track/4rZ1ELne9HvpOLib85ynD2,https://i.scdn.co/image/ab67616d0000b273a657d99c92371a1726f18b77,False,0.371,0.411,4,-10.183,1,0.0297,0.906,0.0429,0.134,0.237,169.127,audio_features,spotify:track:4rZ1ELne9HvpOLib85ynD2,https://api.spotify.com/v1/tracks/4rZ1ELne9HvpOLib85ynD2,https://api.spotify.com/v1/audio-analysis/4rZ1ELne9HvpOLib85ynD2,106427,3,LPFA
2,61BqLW81yr2sQaC7TBlsBq,Love Is Easy,41 (0-100),200280 ms,False,Unlovely,album,2020-02-14,['The Ballroom Thieves'],['https://open.spotify.com/artist/7kZBQcHbD4IKKEJIMnrRWC'],7kZBQcHbD4IKKEJIMnrRWC,"['boston folk', 'deep new americana', 'folk-pop', 'indie folk', 'indiecoustica', 'new americana', 'new england americana', 'stomp and holler']",56 (0-100),https://open.spotify.com/track/61BqLW81yr2sQaC7TBlsBq,https://i.scdn.co/image/ab67616d0000b2737dc2e9c986cb57f31df1ceb8,False,0.698,0.642,9,-8.595,1,0.0281,0.432,8.41e-06,0.0713,0.416,103.979,audio_features,spotify:track:61BqLW81yr2sQaC7TBlsBq,https://api.spotify.com/v1/tracks/61BqLW81yr2sQaC7TBlsBq,https://api.spotify.com/v1/audio-analysis/61BqLW81yr2sQaC7TBlsBq,200280,4,HPFE
3,5ZUObJNpVt2l9GogUSfALc,The Trouble with Wanting,57 (0-100),235586 ms,False,Front Porch,album,2019-05-03,['Joy Williams'],['https://open.spotify.com/artist/4TCXgdDPm10ensLNCVnIYa'],4TCXgdDPm10ensLNCVnIYa,"['acoustic pop', 'christian indie', 'indie folk', 'indiecoustica', 'nashville americana', 'nashville singer-songwriter', 'neo mellow', 'new americana']",61 (0-100),https://open.spotify.com/track/5ZUObJNpVt2l9GogUSfALc,https://i.scdn.co/image/ab67616d0000b27352cda3f2478bf091056d7eb3,False,0.396,0.198,2,-9.096,1,0.031,0.912,0.0,0.0972,0.19,138.624,audio_features,spotify:track:5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/tracks/5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/audio-analysis/5ZUObJNpVt2l9GogUSfALc,235587,3,LPFA
4,7mMZ8mAtEWwx16VNKQKCtQ,St. Clarity (Mahogany Sessions),26 (0-100),152217 ms,False,St. Clarity (Mahogany Sessions),single,2018-02-09,"['The Paper Kites', 'Mahogany']","['https://open.spotify.com/artist/79hrYiudVcFyyxyJW0ipTy', 'https://open.spotify.com/artist/4Kp21tQEUB0PHgNV3B86ah']",79hrYiudVcFyyxyJW0ipTy,"['australian indie folk', 'indie folk', 'stomp and holler']",70 (0-100),https://open.spotify.com/track/7mMZ8mAtEWwx16VNKQKCtQ,https://i.scdn.co/image/ab67616d0000b273f04972d0ebe6354282cec199,False,0.526,0.189,5,-11.372,0,0.035,0.854,0.0,0.367,0.27,96.949,audio_features,spotify:track:7mMZ8mAtEWwx16VNKQKCtQ,https://api.spotify.com/v1/tracks/7mMZ8mAtEWwx16VNKQKCtQ,https://api.spotify.com/v1/audio-analysis/7mMZ8mAtEWwx16VNKQKCtQ,152217,4,LNSA
5,7xZSu9FKC7bvO3fXVjN423,FTA,55 (0-100),147585 ms,False,"FTA b/w Far, Far Away",single,2019-11-22,['Whitney'],['https://open.spotify.com/artist/32aUoW94mJ7xTJI7fG0V1G'],32aUoW94mJ7xTJI7fG0V1G,"['chicago indie', 'indie pop', 'indie rock']",57 (0-100),https://open.spotify.com/track/7xZSu9FKC7bvO3fXVjN423,https://i.scdn.co/image/ab67616d0000b273e4b73c3ae33baa371014759d,False,0.553,0.463,5,-11.76,0,0.0345,0.9,0.802,0.282,0.333,91.734,audio_features,spotify:track:7xZSu9FKC7bvO3fXVjN423,https://api.spotify.com/v1/tracks/7xZSu9FKC7bvO3fXVjN423,https://api.spotify.com/v1/audio-analysis/7xZSu9FKC7bvO3fXVjN423,147585,4,LNSA
6,2FP3iTQLroYyogm0K1OmZq,Goodbye Rain,39 (0-100),225977 ms,False,Hush Kids,album,2018-10-26,['Hush Kids'],['https://open.spotify.com/artist/4XzsOuqFltgBcdHF3RZQbh'],4XzsOuqFltgBcdHF3RZQbh,"['indie folk', 'indiecoustica', 'new americana', 'pop folk']",44 (0-100),https://open.spotify.com/track/2FP3iTQLroYyogm0K1OmZq,https://i.scdn.co/image/ab67616d0000b273b11b12a183033c49df7a2eaa,False,0.616,0.371,11,-11.861,1,0.0268,0.761,0.00277,0.0828,0.24,97.994,audio_features,spotify:track:2FP3iTQLroYyogm0K1OmZq,https://api.spotify.com/v1/tracks/2FP3iTQLroYyogm0K1OmZq,https://api.spotify.com/v1/audio-analysis/2FP3iTQLroYyogm0K1OmZq,225977,4,LPSA
7,13CgWZWZ0duVzOrGZTcnKq,Have We Met Before?,54 (0-100),159040 ms,False,Z-Sides,album,2018-10-26,"['Tom Rosenthal', 'Fenne Lily']","['https://open.spotify.com/artist/1AgxgADPuRIW1wyaA4OKcB', 'https://open.spotify.com/artist/7iPH2BRBF9wKa6ljxvdext']",1AgxgADPuRIW1wyaA4OKcB,"['british singer-songwriter', 'pop']",70 (0-100),https://open.spotify.com/track/13CgWZWZ0duVzOrGZTcnKq,https://i.scdn.co/image/ab67616d0000b273963d93a7d49b6a45facb8f78,False,0.491,0.121,8,-19.363,1,0.0351,0.948,0.00716,0.113,0.251,140.237,audio_features,spotify:track:13CgWZWZ0duVzOrGZTcnKq,https://api.spotify.com/v1/tracks/13CgWZWZ0duVzOrGZTcnKq,https://api.spotify.com/v1/audio-analysis/13CgWZWZ0duVzOrGZTcnKq,159040,3,LPFA
8,6b7QRPlBgvxhRszyWFgh2l,Freckled Girl,26 (0-100),164497 ms,False,Archive Series Volume No. 1,album,2015-02-24,['Iron & Wine'],['https://open.spotify.com/artist/4M5nCE77Qaxayuhp3fVn4V'],4M5nCE77Qaxayuhp3fVn4V,"['acoustic pop', 'chamber pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']",65 (0-100),https://open.spotify.com/track/6b7QRPlBgvxhRszyWFgh2l,https://i.scdn.co/image/ab67616d0000b2735b737eb076deee90cc690e6c,False,0.689,0.223,7,-13.718,1,0.0346,0.527,0.856,0.127,0.572,131.587,audio_features,spotify:track:6b7QRPlBgvxhRszyWFgh2l,https://api.spotify.com/v1/tracks/6b7QRPlBgvxhRszyWFgh2l,https://api.spotify.com/v1/audio-analysis/6b7QRPlBgvxhRszyWFgh2l,164497,4,LPFA
9,1MUCEPRqPotUkDNGfP9HbS,False Knight on the Road,24 (0-100),224266 ms,False,First Collection: 2006-2009,album,2018-11-09,['Fleet Foxes'],['https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb'],4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",66 (0-100),https://open.spotify.com/track/1MUCEPRqPotUkDNGfP9HbS,https://i.scdn.co/image/ab67616d0000b273a657d99c92371a1726f18b77,False,0.443,0.146,7,-12.677,1,0.0314,0.955,4.25e-05,0.102,0.284,102.527,audio_features,spotify:track:1MUCEPRqPotUkDNGfP9HbS,https://api.spotify.com/v1/tracks/1MUCEPRqPotUkDNGfP9HbS,https://api.spotify.com/v1/audio-analysis/1MUCEPRqPotUkDNGfP9HbS,224267,4,LPFA
