,id,trackName,trackPopularity,trackDurationMs,trackExplicit,albumName,albumType,albumReleaseDate,artistNames,artistLinks,artistID,artistGenres,artistPopularity,spotifyURL,albumCoverURL,inLibrary,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,gene
10,20cdxZYwI2NHlseMOcvu5P,Wander Anymore / Dunes,28 (0-100),338600 ms,False,Pictures of Mountains,album,2021-01-29,"('Cody Fry',)",['https://open.spotify.com/artist/7dOCnyDR2oEa1hQlvTXvdT'],7dOCnyDR2oEa1hQlvTXvdT,['indiecoustica'],64 (0-100),https://open.spotify.com/track/20cdxZYwI2NHlseMOcvu5P,https://i.scdn.co/image/ab67616d0000b27333cd2e093667b29a2f11d0f5,False,0.626,0.649,1,-7.817,1,0.0373,0.111,0.0148,0.202,0.312,97.985,audio_features,spotify:track:20cdxZYwI2NHlseMOcvu5P,https://api.spotify.com/v1/tracks/20cdxZYwI2NHlseMOcvu5P,https://api.spotify.com/v1/audio-analysis/20cdxZYwI2NHlseMOcvu5P,338600,4,HPSE
11,08plw345uiLR5bQZNIsfMc,Go,37 (0-100),248671 ms,False,Go,single,2018-08-08,"('Vocal Few',)",['https://open.spotify.com/artist/4XNEA2zwGthyCOdS9znQGd'],4XNEA2zwGthyCOdS9znQGd,"['christian rock', 'indiecoustica']",31 (0-100),https://open.spotify.com/track/08plw345uiLR5bQZNIsfMc,https://i.scdn.co/image/ab67616d0000b273887294064612487d556fbd8f,True,0.627,0.633,3,-4.951,0,0.0323,0.688,5.89e-06,0.183,0.843,152.03,audio_features,spotify:track:08plw345uiLR5bQZNIsfMc,https://api.spotify.com/v1/tracks/08plw345uiLR5bQZNIsfMc,https://api.spotify.com/v1/audio-analysis/08plw345uiLR5bQZNIsfMc,248671,4,HNFA
12,2C0CRs9cwkD8VABHxrBkEd,I'm So Blessed,60 (0-100),175630 ms,False,Rise Up,album,2021-05-07,"('CAIN',)",['https://open.spotify.com/artist/2XDaX0gxzE4eCXjPPAREEq'],2XDaX0gxzE4eCXjPPAREEq,['ccm'],61 (0-100),https://open.spotify.com/track/2C0CRs9cwkD8VABHxrBkEd,https://i.scdn.co/image/ab67616d0000b273f134124bb2686a53546eb577,False,0.588,0.849,2,-4.039,1,0.083,0.0418,0.0,0.342,0.861,157.791,audio_features,spotify:track:2C0CRs9cwkD8VABHxrBkEd,https://api.spotify.com/v1/tracks/2C0CRs9cwkD8VABHxrBkEd,https://api.spotify.com/v1/audio-analysis/2C0CRs9cwkD8VABHxrBkEd,175630,4,HPFE
13,0TzU7aLlgj1M6mMOVBhue7,Skipping Stones & Fireflies,29 (0-100),128399 ms,False,Pictures of Mountains,album,2021-01-29,"('Cody Fry',)",['https://open.spotify.com/artist/7dOCnyDR2oEa1hQlvTXvdT'],7dOCnyDR2oEa1hQlvTXvdT,['indiecoustica'],64 (0-100),https://open.spotify.com/track/0TzU7aLlgj1M6mMOVBhue7,https://i.scdn.co/image/ab67616d0000b27333cd2e093667b29a2f11d0f5,False,0.325,0.102,10,-13.561,1,0.0355,0.954,6.94e-06,0.0824,0.324,105.147,audio_features,spotify:track:0TzU7aLlgj1M6mMOVBhue7,https://api.spotify.com/v1/tracks/0TzU7aLlgj1M6mMOVBhue7,https://api.spotify.com/v1/audio-analysis/0TzU7aLlgj1M6mMOVBhue7,128400,3,LPFA
14,5ONdS1gCAa9HZpndmXnrjr,What I Needed,26 (0-100),215880 ms,False,Pictures of Mountains,album,2021-01-29,"('Cody Fry',)",['https://open.spotify.com/artist/7dOCnyDR2oEa1hQlvTXvdT'],7dOCnyDR2oEa1hQlvTXvdT,['indiecoustica'],64 (0-100),https://open.spotify.com/track/5ONdS1gCAa9HZpndmXnrjr,https://i.scdn.co/image/ab67616d0000b27333cd2e093667b29a2f11d0f5,False,0.89,0.574,6,-8.21,0,0.0806,0.3,0.119,0.102,0.638,117.961,audio_features,spotify:track:5ONdS1gCAa9HZpndmXnrjr,https://api.spotify.com/v1/tracks/5ONdS1gCAa9HZpndmXnrjr,https://api.spotify.com/v1/audio-analysis/5ONdS1gCAa9HZpndmXnrjr,215880,4,HNFE
15,0IHRDDvR9KP28CMUDDBme8,The Commission,56 (0-100),196220 ms,False,Rise Up,album,2021-05-07,"('CAIN',)",['https://open.spotify.com/artist/2XDaX0gxzE4eCXjPPAREEq'],2XDaX0gxzE4eCXjPPAREEq,['ccm'],61 (0-100),https://open.spotify.com/track/0IHRDDvR9KP28CMUDDBme8,https://i.scdn.co/image/ab67616d0000b273f134124bb2686a53546eb577,False,0.328,0.282,5,-7.813,1,0.0342,0.753,4.14e-06,0.106,0.166,86.854,audio_features,spotify:track:0IHRDDvR9KP28CMUDDBme8,https://api.spotify.com/v1/tracks/0IHRDDvR9KP28CMUDDBme8,https://api.spotify.com/v1/audio-analysis/0IHRDDvR9KP28CMUDDBme8,196220,1,LPSA
16,3WmEZRdyrDkcvprhXCiizi,You're Gonna Be Ok,56 (0-100),219666 ms,False,After All These Years,album,2017-01-27,"('Jenn Johnson',)",['https://open.spotify.com/artist/0cuW2lF0YWb9VUyHOnvnsO'],0cuW2lF0YWb9VUyHOnvnsO,"['ccm', 'deep ccm', 'world worship']",64 (0-100),https://open.spotify.com/track/3WmEZRdyrDkcvprhXCiizi,https://i.scdn.co/image/ab67616d0000b273cb270d36313c142984087fc2,False,0.289,0.299,9,-10.037,1,0.0304,0.838,0.000241,0.101,0.0989,131.478,audio_features,spotify:track:3WmEZRdyrDkcvprhXCiizi,https://api.spotify.com/v1/tracks/3WmEZRdyrDkcvprhXCiizi,https://api.spotify.com/v1/audio-analysis/3WmEZRdyrDkcvprhXCiizi,219667,4,LPFA
17,3ZzQJ1W0IocogqIctOGwUM,Firebird - Alt Version,29 (0-100),270692 ms,False,Cinematic,album,2018-06-01,"('Owl City',)",['https://open.spotify.com/artist/07QEuhtrNmmZ0zEcqE9SF6'],07QEuhtrNmmZ0zEcqE9SF6,"['indietronica', 'pop rock']",71 (0-100),https://open.spotify.com/track/3ZzQJ1W0IocogqIctOGwUM,https://i.scdn.co/image/ab67616d0000b2730669924347d4ba8d44375450,True,0.671,0.364,6,-10.791,1,0.039,0.668,0.516,0.11,0.389,130.102,audio_features,spotify:track:3ZzQJ1W0IocogqIctOGwUM,https://api.spotify.com/v1/tracks/3ZzQJ1W0IocogqIctOGwUM,https://api.spotify.com/v1/audio-analysis/3ZzQJ1W0IocogqIctOGwUM,270692,4,LPFA
18,2lfLFnuM6ZkcJs49cQIuMy,Samson,11 (0-100),268363 ms,False,Purest Form,album,2019-09-11,"('Prince of Eden',)",['https://open.spotify.com/artist/29Wvrc4vfXuf9eMexefk7N'],29Wvrc4vfXuf9eMexefk7N,[],42 (0-100),https://open.spotify.com/track/2lfLFnuM6ZkcJs49cQIuMy,https://i.scdn.co/image/ab67616d0000b2735d6f6d134afa4b01e5ea3763,True,0.428,0.546,3,-9.225,0,0.0356,0.217,0.0754,0.115,0.109,110.132,audio_features,spotify:track:2lfLFnuM6ZkcJs49cQIuMy,https://api.spotify.com/v1/tracks/2lfLFnuM6ZkcJs49cQIuMy,https://api.spotify.com/v1/audio-analysis/2lfLFnuM6ZkcJs49cQIuMy,268364,4,HNFE
19,0bGOApauyRL6J6imcV9Zke,London,33 (0-100),191306 ms,False,Pictures of Mountains,album,2021-01-29,"('Cody Fry',)",['https://open.spotify.com/artist/7dOCnyDR2oEa1hQlvTXvdT'],7dOCnyDR2oEa1hQlvTXvdT,['indiecoustica'],64 (0-100),https://open.spotify.com/track/0bGOApauyRL6J6imcV9Zke,https://i.scdn.co/image/ab67616d0000b27333cd2e093667b29a2f11d0f5,False,0.348,0.423,9,-12.092,1,0.0359,0.695,0.000702,0.0972,0.0883,95.135,audio_features,spotify:track:0bGOApauyRL6J6imcV9Zke,https://api.spotify.com/v1/tracks/0bGOApauyRL6J6imcV9Zke,https://api.spotify.com/v1/audio-analysis/0bGOApauyRL6J6imcV9Zke,191307,3,LPSA
